month_day,engagement_ratio,hashtags
January-28,-4.319726023895205,#yale
January-29,-4.357355322754996,"#Harvard, #HarvardInWinter"
January-30,-4.691654219146455,#Stanford
January-31,-4.937351804504291,"#Yale, #campus, #NHV, #NewHaven, #snow"
July-1,-3.6842862183639973,"#covid19, #yale"
July-2,-4.965582239858038,#Harvard
July-3,-5.424575921229908,#HarvardInSummer
July-4,-4.0774753484776864,"#FourthofJuly, #4thofjuly"
July-5,-5.083932587040382,"#4thofJuly, #HarvardinSummer"
July-6,-5.220571156689838,#Yale
July-7,-5.052016321050012,#harvardinsummer
July-8,-4.887459220994087,#NYUAD2022
July-9,-4.158879283806378,"#ThisIsYale, #covid19, #Yale"
July-10,-4.55655282628632,#yale
July-11,-5.08905292592835,#HarvardinSummer
July-12,-4.397093565537283,"#Harvard, #HarvardInSummer"
July-13,-3.681442834933293,"#HarvardLibrary, #Harvard"
July-14,-3.8926437260076074,#VioletPride
July-15,-4.62207218291736,"#library, #Stanford"
July-16,-4.7183127101588,"#YaleAlumni, #YaleWomen, #50WomenAtYale150, #JaneMatildaBolin, #YaleBlackAlumni"
July-17,-4.304139820686377,#yale
July-18,-4.455562294465709,"#MandelaDay, #Mandela100, #NelsonMandela"
July-19,-4.856965913954712,"#harvard, #photography, #HarvardSummer"
July-20,-4.393950522539331,"#Harvard, #HarvardInSummer"
July-21,-4.64456207585062,"#GoStanford, #Tokyo2020"
July-22,-4.154617441749185,"#NYUAbuDhabi, #MedicalBreakthrough, #CancerResearch"
July-23,-4.483675763609651,"#HarvardInSummer, #DogsOfHarvard"
July-24,-4.527751847247832,#HarvardInSummer
July-25,-5.50147987614093,"#Yale, #HarknessTower, #carillon, #YaleOISS"
July-26,-4.376929239598924,#yale
July-27,-4.875192576917701,#HarvardInSummer
July-28,-4.549698215917422,#HarvardinSummer
July-29,-4.384315320630041,#Yale
July-30,-4.425272702563697,#HarvardInSummer
July-31,-4.160567854319035,#HarvardInSummer
June-1,-4.669191678404285,#yale
June-2,-4.032145285618637,#myNYUAD
June-3,-4.623789317530451,#Yale
June-4,-3.783947757819698,"#TBT, #YaleAlumni, #YaleBlackAlumni, #Yale"
June-5,-4.5470823698817195,"#Harvard, #HarvardInSpring"
June-6,-5.3685927281260275,#Stanford19
June-7,-4.432049882906927,"#Yale, #YaleLawSchool"
June-8,-5.101280127834901,#stanford18
June-9,-4.877059574248173,#Yale
June-10,-5.5219237357762365,#Stanford19
June-11,-4.889859193329009,#HarvardUnwind
June-12,-4.647555500822409,"#mynyuad, #artisticlegacy"
June-13,-4.002488523256494,#Stanford2021
June-14,-4.929088021212984,"#FlagDay, #yale"
June-15,-4.68161459859279,#Stanford19
June-16,-3.944369324784884,#Stanford19
June-17,-4.515774263762415,#Yale
June-18,-5.062111146400926,#Stanford17
June-19,-4.997380735135885,"#Yale, #yalelawschool, #lawschool"
June-20,-4.755437006040373,#Stanford2024
June-21,-3.7876739116636013,"#NYUAD2025, #MyNYUAD"
June-22,-4.95930660088709,"#Harvard, #JohnHarvardStatue, #HarvardInSummer"
June-23,-4.497324121333411,#HarvardinSummer
June-24,-4.9168785023772115,#Harvard
June-25,-4.577398342479003,#yale
June-26,-4.355967097763036,"#WorldCup2018, #Harvard"
June-27,-3.8543248617054733,#NYUAD2021
June-28,-3.855578780365066,"#HigherEducation, #NYUAbuDhabi, #UAEUniversities, #GlobalImpact"
